client_code,name,status,age,city,avg_monthly_balance_KZT
54,Виктория,Премиальный клиент,45,Усть-Каменогорск,4083294
55,Асель,Премиальный клиент,49,Алматы,3504443
56,Нуркен,Зарплатный клиент,44,Астана,60622
57,Жания,Премиальный клиент,52,Павлодар,2757704
58,Султан,Зарплатный клиент,40,Караганда,62335
59,Динара,Премиальный клиент,55,Алматы,4427461
60,Ермек,Зарплатный клиент,42,Кызылорда,48779
61,Айбек,Зарплатный клиент,39,Усть-Каменогорск,8296813
62,Айдын,Студент,19,Туркестан,4562677
63,Айбек,Студент,40,Атырау,1612938
64,Виктория,Зарплатный клиент,45,Шымкент,9039804
65,Диана,Стандартный клиент,36,Кызылорда,5330941
66,Нурсултан,Стандартный клиент,19,Атырау,3452654
67,Мадина,Зарплатный клиент,60,Усть-Каменогорск,3594242
68,Жанель,Премиальный клиент,24,Костанай,5554493
69,Айбек,Студент,50,Шымкент,8302137
70,Максат,Зарплатный клиент,40,Алматы,9118026
71,Диана,Зарплатный клиент,26,Караганда,1626090
72,Гульмира,Студент,56,Атырау,7604982
73,Санжар,Студент,53,Туркестан,6292742
74,Жанель,Студент,41,Атырау,2884325
75,Айбек,Стандартный клиент,28,Алматы,123255
76,Асель,Зарплатный клиент,59,Павлодар,8532950
77,Ерасыл,Стандартный клиент,44,Астана,6990734
78,Сабина,Премиальный клиент,30,Туркестан,1686535
79,Маржан,Зарплатный клиент,57,Костанай,2930238
80,Сергей,Зарплатный клиент,31,Павлодар,6479864
81,Камила,Стандартный клиент,51,Павлодар,1557886
82,Сая,Премиальный клиент,62,Актау,9711218
83,Руслан,Зарплатный клиент,55,Караганда,8489908
84,Рамазан,Стандартный клиент,62,Актау,7000926
85,Айгерим,Стандартный клиент,45,Павлодар,8584347
86,Марал,Студент,58,Павлодар,8896406
87,Ерасыл,Зарплатный клиент,18,Шымкент,4051680
88,Максат,Премиальный клиент,42,Кызылорда,8758910
89,Темирлан,Премиальный клиент,46,Караганда,7861349
90,Максат,Студент,43,Караганда,1345642
91,Степан,Зарплатный клиент,32,Кызылорда,7983914
92,Надежда,Студент,37,Кызылорда,7939420
93,Маржан,Стандартный клиент,45,Туркестан,8598534
94,Аружан,Стандартный клиент,29,Кызылорда,8599441
95,Нурсултан,Зарплатный клиент,49,Кызылорда,4560293
96,Степан,Студент,45,Шымкент,4985593
97,Санжар,Студент,28,Тараз,894216
98,Дарья,Премиальный клиент,29,Караганда,5558110
99,Ирина,Зарплатный клиент,52,Кызылорда,6272353
100,Адиль,Премиальный клиент,43,Актау,9881318
101,Айсултан,Зарплатный клиент,29,Караганда,2682479
102,Алия,Премиальный клиент,44,Павлодар,3093550
103,Надежда,Студент,36,Усть-Каменогорск,3461897
104,Марал,Студент,31,Кызылорда,2092344
105,Максат,Премиальный клиент,53,Туркестан,7465146
106,Ерасыл,Зарплатный клиент,29,Павлодар,6104392
107,Дарья,Зарплатный клиент,63,Тараз,5748351
108,Санжар,Студент,36,Алматы,2724100
109,Алексей,Студент,30,Павлодар,8623915
110,Аружан,Зарплатный клиент,49,Шымкент,5552438
111,Кирилл,Премиальный клиент,41,Туркестан,5309930
112,Айдын,Стандартный клиент,61,Костанай,5879971
113,Нурсултан,Премиальный клиент,18,Шымкент,9524774
114,Сая,Премиальный клиент,62,Атырау,6892936
115,Жанар,Стандартный клиент,32,Атырау,3743586
116,Марал,Стандартный клиент,24,Костанай,1255603
117,Юлия,Премиальный клиент,22,Караганда,8728743
118,Маржан,Стандартный клиент,62,Кызылорда,2442991
119,Мурат,Студент,39,Тараз,4755424
120,Бекзат,Зарплатный клиент,45,Костанай,2142502

